FREBU     	ST ETIENNE
FRSNR     	ST NAZAIRE
STNFR     	ST NICOLAS DALIEMONT
SATFR     	ST. AME
STEFR     	STE. HELENE DU LAC
FRSXB     	STRASBOURG
STAFR     	STRASBOURG
STRFR     	STRASBOURG
SURFR     	SURVILLIERS
THEFR     	THEILLAY
THIFR     	THIANT
FRTGF     	TIGNES
TILFR     	TILLOY LES MOFPLAIN
FRTLS     	TOULOUSE
FRXYT     	TOULOUSE
TOUFR     	TOULOUSE
TORFR     	TOURCOING
FRTUF     	TOURS
FRTNF     	TOUSSUS-LE-NOBLE
FRSBK     	TREMUSON
TRIFR     	TRILPORT
TROFR     	TROYES
VAGFR     	VAGNEY
FRVAF     	VALENCE
VLNFR     	VALENCE 
VALFR     	VALENTIGNEY
FRVNE     	VANNES
VARFR     	VARAVILLE
VENFR     	VENETTE
VEIFR     	VENISSIEUX
VEBFR     	VERBERIE
VERFR     	VERDUN
VSAFR     	VERNEUIL-SUR-AVRE
VRQFR     	VERQUIGNEUL
VLBFR     	VERRIERES-LE-BUISSON
FRVHY     	VICHY
VRZFR     	VIERZON
VIEFR     	VILLEBON-SUR-YVETTE
VDAFR     	VILLENEUCVE-DASCQ
VLPFR     	VILLEPREUX
VILFR     	VILLERS-SAINT-PAUL
VREFR     	VIRE
VIRFR     	VIRY
VITFR     	VITRE
VSSFR     	VITRY-SUR-SEINE
FRVTL     	VITTEL
VTLFR     	VITTEL
VIVFR     	VIVIERS-DU-LAC
VOIFR     	VOIRON
WASFR     	WASQUEHAL
WATFR     	WATTIGNIES
YUTFR     	YUTZ
YVEFR     	YVELINES
